model,params_M,train_s,MAE_avg,RMSE_avg,MAE_btc,MAE_eth,MAE_sol,MAE_xrp,RMSE_btc,RMSE_eth,RMSE_sol,RMSE_xrp,best_val_mse
LSTM,0.208912,13.550570726394653,0.485772512378481,0.4924516128922689,0.4859580425377315,0.48564015281181516,0.48574016679863546,0.485751687365742,0.49215027471629375,0.49260248080729346,0.49229431735871226,0.49275937868677616,0.9921043677763506
TSMixer,0.029249,18.70445990562439,0.48853993325150336,0.4932636004267808,0.4895301694915336,0.4887232588512584,0.48802340880815653,0.48788289585506484,0.49362488947487754,0.49380341854438753,0.4929784577135589,0.49264763597429934,0.9986662798457675
PRISM,0.073605,83.7882559299469,0.489183660543475,0.4947177695799295,0.4890024091475739,0.48985760654020233,0.48846800179942473,0.4894066246866991,0.49479978162692173,0.4959311956054911,0.4935830382493509,0.4945570628379544,1.0113863794490545
Autoformer,0.126736,152.92839407920837,0.48992959194818125,0.4964673791901309,0.49062985028782286,0.4897792296250913,0.48937426444656684,0.48993502343324397,0.49674889668895816,0.4961805753594934,0.49560544580219495,0.497334598909877,1.0127154853608873
Linear,0.001552,34.53329658508301,0.4899385445469344,0.4947483885006162,0.48981172316803606,0.4898278355787371,0.4894431928825076,0.4906714265584568,0.49421884419187995,0.494962166211423,0.49405958182848453,0.49575296177067724,1.0101966888013512
TimeMixer,0.086892,54.192803144454956,0.49003686043426464,0.4985981195456875,0.4904692194919012,0.4900866667177711,0.48958612039992244,0.49000543512746386,0.49902269108745284,0.4985528605277482,0.4976857609935576,0.49913116557399145,1.0202176287920788
DLinear,0.003104,29.53819751739502,0.49025987830668355,0.49546901674148286,0.48987662229220574,0.489842203868739,0.4909736210117249,0.4903470660540646,0.49485524715669416,0.4954149790110534,0.49611700842141343,0.4954888323767704,1.0127549484522655
StockMixer,0.010521,227.66678500175476,0.4902600821148953,0.49501057450337704,0.48983742280165105,0.4899614143673856,0.4899034593826995,0.49133803190784486,0.49432428305105125,0.49521422846172075,0.49447409323871,0.4960296932620263,1.0104413628578186
SAMBA,0.159601,1877.7558023929596,0.4904302946927997,0.4940789300425408,0.4908522619498324,0.49007495843854076,0.4901707357536594,0.49062322262916624,0.494858990938437,0.49331458102730347,0.49357997895823585,0.4945621692461868,1.008579493773104
RLinear,0.001584,49.52944016456604,0.4905955526227996,0.49722221289827073,0.49078371770408374,0.4905375457981309,0.49003085062356455,0.49103009636541933,0.4970765056164142,0.4971709308610761,0.49628127680980644,0.49836013830578624,1.0210204449566929
NLinear,0.001552,18.29227304458618,0.4906472682197196,0.4976936190478524,0.49137440030057156,0.489885717413127,0.4908181046910596,0.4905108504741203,0.497466871522631,0.498138351244967,0.4979551462709808,0.4972141071528308,1.0231044051623104
Mean=0.5,0.0,0.0,0.4908036905309856,0.4933557495715001,0.4913383278340432,0.49049314689333956,0.490671282373782,0.49071200502277745,0.4936083617213073,0.49321249903724484,0.4933095245114516,0.4932926130159965,
TimesNet,4.701265,109.43136739730835,0.490831740344572,0.4958845109286121,0.49094515798964705,0.49098947225773204,0.49045598442694277,0.49093634670396613,0.4958285313640757,0.4965956916333834,0.4952343564351242,0.4958794642818648,1.0195372923456056
FEDformer,0.167696,341.95913887023926,0.49106537808329104,0.49811362625647415,0.4917739581003809,0.4919960284950994,0.4898486389788886,0.49064288675879525,0.49797931156801867,0.4988321570351143,0.49680913239868035,0.49883390402408323,1.0199629495842288
TimeXer,0.109313,38.114590883255005,0.49114888647656807,0.496326782447467,0.49164528461341434,0.4913142919162563,0.49061495906388514,0.49102101031271667,0.49660983196183756,0.49677177197710715,0.4957978514962302,0.496127674354693,1.0181493831403328
PatchTST,0.069603,34.85833740234375,0.4912903669330095,0.49617829970858013,0.4920131214824985,0.4912743699909579,0.49094268780691686,0.4909312884516648,0.4966986266514328,0.49632116447900965,0.4956799760430257,0.4960134316608524,1.0163311374307884
Transformer,0.476048,17.780129432678223,0.49138617001698254,0.495969678908406,0.49142496317577816,0.4927264269482693,0.49086167748114196,0.4905316124627405,0.4956129090432774,0.49710278426556254,0.4954398790813209,0.49572314324346306,1.010071089773467
SegRNN,0.025697,20.439523220062256,0.49142090930424853,0.4950843963697784,0.4915703983578931,0.4913520516759809,0.49126632013336036,0.4914948670497598,0.494941716156469,0.4949827357246259,0.4948814435667265,0.4955316900312924,1.010718942892672
iTransformer,0.073345,23.309997081756592,0.4929236418849504,0.5008739910171869,0.492644065155658,0.49416663144167555,0.4919524396844976,0.49293143125797034,0.5002056274831431,0.5020081078645118,0.5001065217822382,0.5011757069388542,1.0362406806512312
Persistence,0.0,0.0,0.5054974021700029,0.7042271667251297,0.517567339865417,0.5053372142809884,0.5019587850797385,0.49712626945386784,0.7130716260705661,0.7038767683364199,0.701679629405889,0.6982806430876441,
